product,price,rating,website,category,stock,date
Monopod,19.99,4.43,TechGear,mobile-accessories,48,2026-01-24
Selfie Stick Monopod,12.99,3.88,SnapTech,mobile-accessories,11,2026-01-24
TV Studio Camera Pedestal,499.99,2.78,ProVision,mobile-accessories,15,2026-01-24
iPhone 13 Pro,1099.99,4.12,Apple,smartphones,56,2026-01-24
Oppo F19 Pro Plus,399.99,3.51,Oppo,smartphones,78,2026-01-24
Realme X,299.99,3.7,Realme,smartphones,12,2026-01-24
Realme XT,349.99,4.58,Realme,smartphones,80,2026-01-24
Samsung Galaxy S7,299.99,3.3,Samsung,smartphones,67,2026-01-24
Samsung Galaxy S8,499.99,4.4,Samsung,smartphones,0,2026-01-24
Samsung Galaxy S10,699.99,3.06,Samsung,smartphones,19,2026-01-24
Vivo S1,249.99,3.5,Vivo,smartphones,50,2026-01-24
Vivo V9,299.99,3.6,Vivo,smartphones,82,2026-01-24
Vivo X21,499.99,4.26,Vivo,smartphones,7,2026-01-24
Apple AirPods Max Silver,549.99,3.47,Apple,mobile-accessories,59,2026-01-24
Apple iPhone Charger,19.99,4.15,Apple,mobile-accessories,31,2026-01-24
Apple MagSafe Battery Pack,99.99,3.62,Apple,mobile-accessories,1,2026-01-24
iPhone 12 Silicone Case with MagSafe Plum,29.99,3.62,Apple,mobile-accessories,69,2026-01-24
Selfie Lamp with iPhone,14.99,3.55,GadgetMaster,mobile-accessories,58,2026-01-24
iPhone 5s,199.99,2.83,Apple,smartphones,25,2026-01-24
iPhone 6,299.99,3.41,Apple,smartphones,60,2026-01-24
iPhone X,899.99,2.51,Apple,smartphones,37,2026-01-24
Apple MacBook Pro 14 Inch Space Grey,1999.99,3.65,Apple,laptops,24,2026-01-24
Asus Zenbook Pro Dual Screen Laptop,1799.99,3.95,Asus,laptops,45,2026-01-24
Huawei Matebook X Pro,1399.99,4.98,Huawei,laptops,75,2026-01-24
Lenovo Yoga 920,1099.99,2.86,Lenovo,laptops,40,2026-01-24
New DELL XPS 13 9300 Laptop,1499.99,2.67,Dell,laptops,74,2026-01-24
Silver Pot With Glass Cap,39.99,3.22,API,kitchen-accessories,40,2026-01-24
Apple Watch Series 4 Gold,349.99,2.74,Apple,mobile-accessories,33,2026-01-24
Samsung Galaxy Tab S8 Plus Grey,599.99,4.68,Samsung,tablets,62,2026-01-24
Samsung Galaxy Tab White,349.99,3.72,Samsung,tablets,92,2026-01-24
Amazon Echo Plus,99.99,4.99,Amazon,mobile-accessories,61,2026-01-24
Apple HomePod Mini Cosmic Grey,99.99,4.62,Apple,mobile-accessories,27,2026-01-24
iPad Mini 2021 Starlight,499.99,3.18,Apple,tablets,47,2026-01-24
Apple Airpower Wireless Charger,79.99,3.68,Apple,mobile-accessories,1,2026-01-24
