product,price,rating,website,date
"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,3.9,FakeStoreAPI,2025-12-06
Mens Casual Premium Slim Fit T-Shirts ,22.3,4.1,FakeStoreAPI,2025-12-06
Mens Cotton Jacket,55.99,4.7,FakeStoreAPI,2025-12-06
Mens Casual Slim Fit,15.99,2.1,FakeStoreAPI,2025-12-06
John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,695.0,4.6,FakeStoreAPI,2025-12-06
Solid Gold Petite Micropave ,168.0,3.9,FakeStoreAPI,2025-12-06
White Gold Plated Princess,9.99,3.0,FakeStoreAPI,2025-12-06
Pierced Owl Rose Gold Plated Stainless Steel Double,10.99,1.9,FakeStoreAPI,2025-12-06
WD 2TB Elements Portable External Hard Drive - USB 3.0 ,64.0,3.3,FakeStoreAPI,2025-12-06
SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,109.0,2.9,FakeStoreAPI,2025-12-06
